,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_plagiarised,total_not_plagiarised
18-subfolder,22.0,21.0,22.0,22.0,21.0,23.0,23.0,22.0,21.0,20.0,9.0,1.0
19-subfolder,23.0,21.0,23.0,22.0,23.0,21.0,22.0,23.0,21.0,20.0,9.0,1.0
20-subfolder,23.0,21.0,23.0,21.0,22.0,20.0,20.0,23.0,20.0,23.0,7.0,3.0
21-subfolder,23.0,21.0,20.0,22.0,22.0,21.0,22.0,23.0,20.0,23.0,8.0,2.0
22-subfolder,22.0,23.0,23.0,22.0,22.0,21.0,23.0,23.0,21.0,23.0,10.0,0.0
23-subfolder,22.0,23.0,22.0,23.0,20.0,20.0,22.0,20.0,21.0,23.0,7.0,3.0
24-subfolder,22.0,21.0,23.0,22.0,23.0,22.0,21.0,23.0,21.0,23.0,10.0,0.0
25-subfolder,20.0,20.0,23.0,20.0,22.0,23.0,20.0,23.0,23.0,20.0,5.0,5.0
26-subfolder,20.0,20.0,20.0,20.0,22.0,20.0,20.0,23.0,20.0,22.0,3.0,7.0
27-subfolder,21.0,23.0,21.0,21.0,23.0,22.0,22.0,22.0,21.0,23.0,10.0,0.0
28-subfolder,22.0,21.0,21.0,23.0,20.0,21.0,21.0,22.0,22.0,23.0,9.0,1.0
29-subfolder,22.0,22.0,22.0,21.0,22.0,21.0,23.0,22.0,23.0,23.0,10.0,0.0
30-subfolder,23.0,23.0,23.0,22.0,21.0,23.0,23.0,20.0,21.0,20.0,8.0,2.0
31-subfolder,23.0,20.0,20.0,22.0,22.0,22.0,21.0,22.0,22.0,23.0,8.0,2.0
32-subfolder,23.0,23.0,21.0,22.0,23.0,21.0,22.0,22.0,23.0,23.0,10.0,0.0
33-subfolder,23.0,21.0,23.0,22.0,20.0,20.0,20.0,20.0,21.0,20.0,5.0,5.0
34-subfolder,23.0,23.0,21.0,23.0,22.0,21.0,23.0,23.0,21.0,23.0,10.0,0.0
35-subfolder,20.0,22.0,23.0,20.0,21.0,23.0,21.0,23.0,20.0,23.0,7.0,3.0
36-subfolder,23.0,20.0,23.0,21.0,21.0,23.0,22.0,20.0,21.0,20.0,7.0,3.0
37-subfolder,23.0,23.0,21.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,10.0,0.0
38-subfolder,20.0,22.0,20.0,20.0,20.0,21.0,20.0,23.0,20.0,23.0,4.0,6.0
39-subfolder,22.0,23.0,22.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,10.0,0.0
40-subfolder,23.0,21.0,23.0,22.0,23.0,20.0,23.0,22.0,21.0,23.0,9.0,1.0
41-subfolder,23.0,23.0,20.0,22.0,20.0,20.0,20.0,23.0,22.0,23.0,6.0,4.0
42-subfolder,23.0,21.0,23.0,21.0,23.0,22.0,21.0,23.0,21.0,23.0,10.0,0.0
43-subfolder,20.0,23.0,22.0,20.0,21.0,22.0,22.0,20.0,20.0,20.0,5.0,5.0
44-subfolder,23.0,23.0,23.0,22.0,21.0,22.0,22.0,23.0,23.0,23.0,10.0,0.0
45-subfolder,23.0,20.0,23.0,22.0,22.0,23.0,22.0,22.0,22.0,23.0,9.0,1.0
46-subfolder,20.0,21.0,20.0,22.0,21.0,20.0,22.0,22.0,20.0,23.0,6.0,4.0
47-subfolder,23.0,22.0,21.0,20.0,23.0,22.0,22.0,22.0,21.0,23.0,9.0,1.0
48-subfolder,22.0,21.0,21.0,23.0,20.0,21.0,22.0,20.0,23.0,23.0,8.0,2.0
49-subfolder,22.0,23.0,21.0,22.0,23.0,22.0,23.0,22.0,22.0,23.0,10.0,0.0
50-subfolder,23.0,20.0,23.0,20.0,22.0,23.0,20.0,22.0,21.0,20.0,6.0,4.0
51-subfolder,20.0,21.0,23.0,23.0,20.0,22.0,20.0,23.0,21.0,20.0,6.0,4.0
52-subfolder,23.0,21.0,23.0,21.0,23.0,23.0,21.0,23.0,22.0,22.0,10.0,0.0
53-subfolder,23.0,23.0,23.0,22.0,21.0,21.0,21.0,23.0,21.0,23.0,10.0,0.0
54-subfolder,23.0,21.0,21.0,21.0,22.0,22.0,21.0,22.0,23.0,23.0,10.0,0.0
55-subfolder,23.0,20.0,20.0,20.0,22.0,20.0,23.0,20.0,20.0,22.0,4.0,6.0
56-subfolder,23.0,20.0,20.0,20.0,22.0,20.0,20.0,22.0,21.0,23.0,5.0,5.0
57-subfolder,23.0,22.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,10.0,0.0
58-subfolder,20.0,21.0,22.0,22.0,20.0,21.0,23.0,23.0,22.0,20.0,7.0,3.0
59-subfolder,23.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,21.0,23.0,10.0,0.0
60-subfolder,23.0,22.0,23.0,22.0,23.0,22.0,22.0,20.0,20.0,23.0,8.0,2.0
61-subfolder,20.0,20.0,21.0,22.0,21.0,23.0,20.0,22.0,21.0,23.0,7.0,3.0
62-subfolder,23.0,21.0,21.0,22.0,23.0,22.0,23.0,22.0,21.0,23.0,10.0,0.0
63-subfolder,23.0,23.0,20.0,23.0,22.0,20.0,23.0,20.0,23.0,23.0,7.0,3.0
64-subfolder,21.0,21.0,23.0,23.0,21.0,22.0,22.0,22.0,22.0,23.0,10.0,0.0
65-subfolder,23.0,21.0,23.0,20.0,20.0,23.0,21.0,22.0,20.0,20.0,6.0,4.0
66-subfolder,23.0,21.0,20.0,21.0,22.0,23.0,23.0,22.0,21.0,23.0,9.0,1.0
67-subfolder,23.0,23.0,23.0,22.0,23.0,22.0,23.0,22.0,21.0,21.0,10.0,0.0
68-subfolder,20.0,23.0,21.0,22.0,22.0,20.0,20.0,23.0,20.0,20.0,5.0,5.0
69-subfolder,23.0,21.0,21.0,21.0,21.0,22.0,21.0,23.0,21.0,23.0,10.0,0.0
70-subfolder,23.0,20.0,22.0,20.0,20.0,22.0,23.0,20.0,23.0,23.0,6.0,4.0
71-subfolder,23.0,23.0,23.0,22.0,20.0,20.0,21.0,23.0,22.0,23.0,8.0,2.0
72-subfolder,23.0,21.0,23.0,22.0,22.0,21.0,22.0,22.0,21.0,23.0,10.0,0.0
73-subfolder,20.0,20.0,21.0,20.0,21.0,22.0,20.0,20.0,20.0,23.0,4.0,6.0
74-subfolder,23.0,22.0,23.0,22.0,23.0,23.0,23.0,22.0,22.0,23.0,10.0,0.0
75-subfolder,23.0,22.0,20.0,23.0,21.0,21.0,22.0,22.0,23.0,20.0,8.0,2.0
76-subfolder,23.0,20.0,22.0,20.0,21.0,22.0,20.0,22.0,21.0,20.0,6.0,4.0
77-subfolder,23.0,23.0,23.0,22.0,23.0,23.0,21.0,22.0,22.0,23.0,10.0,0.0
78-subfolder,20.0,22.0,20.0,22.0,21.0,21.0,23.0,20.0,20.0,23.0,6.0,4.0
79-subfolder,23.0,23.0,21.0,22.0,21.0,22.0,23.0,22.0,22.0,23.0,10.0,0.0
80-subfolder,23.0,21.0,21.0,22.0,20.0,20.0,22.0,22.0,23.0,22.0,8.0,2.0
81-subfolder,20.0,22.0,21.0,20.0,21.0,21.0,21.0,20.0,21.0,20.0,6.0,4.0
82-subfolder,23.0,23.0,23.0,20.0,21.0,21.0,22.0,22.0,22.0,23.0,9.0,1.0
83-subfolder,23.0,20.0,20.0,22.0,20.0,22.0,22.0,23.0,20.0,23.0,6.0,4.0
84-subfolder,23.0,21.0,22.0,23.0,21.0,23.0,21.0,22.0,22.0,23.0,10.0,0.0
85-subfolder,23.0,21.0,21.0,22.0,21.0,20.0,20.0,23.0,23.0,23.0,8.0,2.0
86-subfolder,20.0,20.0,21.0,23.0,20.0,22.0,20.0,23.0,20.0,22.0,5.0,5.0
87-subfolder,23.0,21.0,23.0,22.0,23.0,23.0,21.0,23.0,22.0,23.0,10.0,0.0
88-subfolder,23.0,23.0,20.0,20.0,21.0,20.0,22.0,20.0,22.0,23.0,6.0,4.0
89-subfolder,23.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,23.0,23.0,10.0,0.0
90-subfolder,23.0,23.0,21.0,22.0,21.0,21.0,21.0,23.0,21.0,20.0,9.0,1.0
91-subfolder,22.0,23.0,21.0,22.0,23.0,23.0,20.0,23.0,20.0,20.0,7.0,3.0
92-subfolder,23.0,23.0,21.0,23.0,21.0,22.0,22.0,23.0,22.0,23.0,10.0,0.0
93-subfolder,20.0,23.0,20.0,23.0,22.0,20.0,21.0,20.0,22.0,23.0,6.0,4.0
94-subfolder,22.0,21.0,23.0,22.0,22.0,21.0,21.0,23.0,23.0,23.0,10.0,0.0
95-subfolder,23.0,20.0,21.0,20.0,20.0,22.0,22.0,23.0,22.0,22.0,7.0,3.0
96-subfolder,23.0,22.0,20.0,23.0,21.0,21.0,22.0,20.0,23.0,23.0,8.0,2.0
97-subfolder,23.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,21.0,23.0,10.0,0.0
98-subfolder,20.0,20.0,23.0,20.0,21.0,20.0,21.0,23.0,21.0,23.0,6.0,4.0
99-subfolder,23.0,21.0,23.0,22.0,23.0,23.0,23.0,22.0,22.0,23.0,10.0,0.0
100-subfolder,23.0,23.0,20.0,21.0,20.0,22.0,20.0,21.0,20.0,20.0,5.0,5.0
101-subfolder,20.0,20.0,21.0,22.0,23.0,20.0,20.0,20.0,20.0,23.0,4.0,6.0
102-subfolder,23.0,23.0,23.0,22.0,21.0,22.0,21.0,22.0,22.0,22.0,10.0,0.0
103-subfolder,23.0,22.0,20.0,20.0,20.0,22.0,22.0,23.0,22.0,20.0,6.0,4.0
104-subfolder,22.0,22.0,21.0,22.0,22.0,23.0,23.0,22.0,21.0,23.0,10.0,0.0
105-subfolder,23.0,23.0,21.0,22.0,21.0,21.0,22.0,23.0,23.0,23.0,10.0,0.0
106-subfolder,20.0,23.0,21.0,20.0,21.0,22.0,20.0,23.0,22.0,23.0,7.0,3.0
107-subfolder,23.0,22.0,21.0,22.0,22.0,22.0,22.0,23.0,22.0,23.0,10.0,0.0
108-subfolder,23.0,22.0,20.0,23.0,20.0,22.0,22.0,23.0,20.0,20.0,6.0,4.0
109-subfolder,23.0,23.0,21.0,22.0,22.0,21.0,23.0,22.0,21.0,23.0,10.0,0.0
110-subfolder,23.0,20.0,22.0,22.0,21.0,20.0,22.0,20.0,23.0,23.0,7.0,3.0
111-subfolder,23.0,23.0,21.0,20.0,22.0,22.0,21.0,22.0,22.0,23.0,9.0,1.0
112-subfolder,23.0,21.0,23.0,22.0,21.0,22.0,22.0,22.0,23.0,23.0,10.0,0.0
113-subfolder,20.0,20.0,20.0,22.0,20.0,20.0,22.0,23.0,20.0,23.0,4.0,6.0
114-subfolder,23.0,21.0,21.0,22.0,21.0,22.0,22.0,23.0,22.0,23.0,10.0,0.0
115-subfolder,23.0,21.0,23.0,22.0,22.0,23.0,20.0,20.0,21.0,20.0,7.0,3.0
116-subfolder,23.0,23.0,21.0,20.0,22.0,22.0,22.0,23.0,22.0,23.0,9.0,1.0
117-subfolder,23.0,23.0,21.0,22.0,21.0,22.0,21.0,22.0,23.0,23.0,10.0,0.0
118-subfolder,23.0,22.0,20.0,23.0,20.0,22.0,23.0,20.0,22.0,23.0,7.0,3.0
119-subfolder,23.0,23.0,22.0,22.0,21.0,23.0,21.0,22.0,22.0,23.0,10.0,0.0
120-subfolder,20.0,20.0,23.0,22.0,22.0,20.0,20.0,22.0,20.0,20.0,4.0,6.0
121-subfolder,23.0,21.0,22.0,20.0,22.0,22.0,20.0,22.0,23.0,23.0,8.0,2.0
122-subfolder,23.0,23.0,21.0,22.0,22.0,23.0,22.0,23.0,21.0,23.0,10.0,0.0
123-subfolder,20.0,21.0,20.0,23.0,20.0,22.0,23.0,23.0,20.0,20.0,5.0,5.0
124-subfolder,23.0,23.0,21.0,23.0,21.0,22.0,21.0,22.0,22.0,23.0,10.0,0.0
125-subfolder,23.0,20.0,23.0,22.0,21.0,20.0,22.0,20.0,22.0,23.0,7.0,3.0
126-subfolder,23.0,23.0,21.0,20.0,21.0,20.0,23.0,20.0,20.0,23.0,6.0,4.0
127-subfolder,23.0,23.0,21.0,21.0,23.0,23.0,21.0,23.0,21.0,23.0,10.0,0.0
128-subfolder,20.0,20.0,23.0,22.0,20.0,22.0,20.0,22.0,23.0,20.0,5.0,5.0
129-subfolder,23.0,21.0,21.0,22.0,21.0,21.0,21.0,23.0,22.0,23.0,10.0,0.0
130-subfolder,22.0,21.0,20.0,23.0,22.0,22.0,22.0,22.0,21.0,23.0,9.0,1.0
131-subfolder,22.0,21.0,20.0,20.0,21.0,22.0,23.0,20.0,20.0,23.0,6.0,4.0
132-subfolder,22.0,21.0,21.0,22.0,21.0,22.0,21.0,22.0,22.0,23.0,10.0,0.0
133-subfolder,20.0,23.0,21.0,22.0,20.0,20.0,20.0,22.0,22.0,20.0,5.0,5.0
134-subfolder,23.0,21.0,21.0,22.0,21.0,23.0,21.0,22.0,23.0,23.0,10.0,0.0
135-subfolder,23.0,20.0,23.0,22.0,23.0,22.0,23.0,23.0,21.0,23.0,9.0,1.0
136-subfolder,23.0,22.0,23.0,22.0,20.0,20.0,20.0,20.0,21.0,23.0,6.0,4.0
137-subfolder,23.0,21.0,23.0,23.0,21.0,22.0,21.0,22.0,22.0,23.0,10.0,0.0
138-subfolder,20.0,20.0,20.0,20.0,23.0,21.0,22.0,22.0,21.0,20.0,5.0,5.0
139-subfolder,23.0,23.0,21.0,22.0,22.0,21.0,23.0,23.0,23.0,23.0,10.0,0.0
140-subfolder,23.0,21.0,21.0,22.0,21.0,23.0,23.0,22.0,20.0,23.0,9.0,1.0
141-subfolder,23.0,20.0,21.0,22.0,21.0,23.0,21.0,21.0,23.0,23.0,9.0,1.0
142-subfolder,23.0,21.0,21.0,23.0,22.0,21.0,23.0,22.0,21.0,23.0,10.0,0.0
143-subfolder,23.0,21.0,23.0,20.0,20.0,20.0,22.0,20.0,23.0,22.0,6.0,4.0
144-subfolder,23.0,22.0,21.0,23.0,21.0,21.0,22.0,23.0,22.0,23.0,10.0,0.0
145-subfolder,20.0,22.0,20.0,22.0,23.0,21.0,20.0,23.0,20.0,20.0,5.0,5.0
146-subfolder,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.0,22.0,23.0,3.0,7.0
147-subfolder,23.0,21.0,21.0,23.0,23.0,21.0,22.0,23.0,21.0,23.0,10.0,0.0
148-subfolder,23.0,23.0,23.0,23.0,21.0,22.0,22.0,22.0,22.0,23.0,10.0,0.0
149-subfolder,23.0,23.0,23.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,10.0,0.0
150-subfolder,23.0,23.0,21.0,23.0,21.0,23.0,23.0,20.0,20.0,20.0,7.0,3.0
151-subfolder,20.0,23.0,21.0,22.0,23.0,21.0,20.0,20.0,22.0,23.0,7.0,3.0
152-subfolder,23.0,21.0,22.0,23.0,21.0,22.0,22.0,23.0,22.0,23.0,10.0,0.0
153-subfolder,23.0,20.0,20.0,23.0,20.0,20.0,23.0,23.0,20.0,20.0,4.0,6.0
154-subfolder,23.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,22.0,23.0,10.0,0.0
155-subfolder,23.0,22.0,21.0,20.0,21.0,23.0,22.0,22.0,23.0,23.0,9.0,1.0
156-subfolder,23.0,22.0,20.0,20.0,21.0,20.0,22.0,23.0,22.0,23.0,7.0,3.0
157-subfolder,23.0,21.0,21.0,22.0,23.0,22.0,22.0,23.0,23.0,23.0,10.0,0.0
158-subfolder,23.0,23.0,22.0,23.0,20.0,23.0,21.0,20.0,20.0,20.0,6.0,4.0
159-subfolder,23.0,23.0,21.0,23.0,22.0,23.0,23.0,23.0,22.0,23.0,10.0,0.0
160-subfolder,20.0,20.0,23.0,22.0,21.0,23.0,20.0,23.0,23.0,23.0,7.0,3.0
161-subfolder,23.0,21.0,21.0,22.0,23.0,23.0,22.0,22.0,20.0,23.0,9.0,1.0
162-subfolder,23.0,23.0,21.0,23.0,21.0,22.0,23.0,22.0,22.0,23.0,10.0,0.0
163-subfolder,23.0,23.0,21.0,22.0,20.0,22.0,21.0,20.0,22.0,23.0,8.0,2.0
164-subfolder,23.0,23.0,23.0,23.0,21.0,21.0,21.0,23.0,22.0,22.0,10.0,0.0
165-subfolder,20.0,20.0,20.0,23.0,22.0,22.0,20.0,23.0,23.0,20.0,5.0,5.0
166-subfolder,23.0,22.0,21.0,23.0,20.0,23.0,21.0,20.0,22.0,23.0,8.0,2.0
167-subfolder,23.0,22.0,23.0,20.0,21.0,22.0,23.0,23.0,23.0,23.0,9.0,1.0
168-subfolder,20.0,23.0,22.0,22.0,23.0,22.0,23.0,23.0,22.0,23.0,9.0,1.0
169-subfolder,23.0,23.0,23.0,21.0,21.0,20.0,23.0,23.0,21.0,23.0,9.0,1.0
170-subfolder,22.0,23.0,21.0,22.0,21.0,22.0,22.0,23.0,20.0,20.0,8.0,2.0
171-subfolder,23.0,23.0,20.0,22.0,21.0,21.0,20.0,23.0,22.0,23.0,8.0,2.0
172-subfolder,23.0,22.0,21.0,23.0,20.0,23.0,23.0,23.0,22.0,23.0,9.0,1.0
173-subfolder,22.0,22.0,23.0,22.0,23.0,21.0,22.0,23.0,22.0,23.0,10.0,0.0
174-subfolder,23.0,21.0,21.0,23.0,21.0,22.0,23.0,23.0,22.0,23.0,10.0,0.0
175-subfolder,23.0,20.0,20.0,20.0,21.0,20.0,20.0,23.0,23.0,23.0,5.0,5.0
176-subfolder,23.0,22.0,21.0,23.0,21.0,22.0,21.0,23.0,20.0,23.0,9.0,1.0
177-subfolder,20.0,23.0,23.0,23.0,21.0,20.0,22.0,20.0,21.0,23.0,7.0,3.0
178-subfolder,22.0,20.0,23.0,22.0,22.0,20.0,23.0,20.0,20.0,20.0,5.0,5.0
179-subfolder,22.0,22.0,20.0,20.0,21.0,21.0,21.0,23.0,23.0,23.0,8.0,2.0
180-subfolder,20.0,20.0,21.0,20.0,20.0,21.0,20.0,23.0,21.0,20.0,4.0,6.0
181-subfolder,20.0,21.0,23.0,22.0,21.0,20.0,21.0,22.0,22.0,23.0,8.0,2.0
182-subfolder,23.0,23.0,20.0,20.0,21.0,23.0,23.0,20.0,21.0,23.0,7.0,3.0
183-subfolder,23.0,20.0,21.0,22.0,21.0,20.0,21.0,22.0,21.0,23.0,8.0,2.0
184-subfolder,22.0,20.0,23.0,22.0,23.0,21.0,23.0,20.0,23.0,23.0,8.0,2.0
185-subfolder,20.0,23.0,23.0,22.0,21.0,21.0,22.0,20.0,22.0,22.0,8.0,2.0
186-subfolder,23.0,20.0,21.0,20.0,20.0,23.0,22.0,22.0,23.0,23.0,7.0,3.0
187-subfolder,23.0,20.0,23.0,23.0,21.0,21.0,22.0,22.0,21.0,23.0,9.0,1.0
188-subfolder,23.0,23.0,23.0,23.0,21.0,21.0,22.0,22.0,22.0,23.0,10.0,0.0
189-subfolder,23.0,23.0,20.0,22.0,22.0,20.0,23.0,22.0,22.0,20.0,7.0,3.0
190-subfolder,23.0,23.0,21.0,22.0,20.0,22.0,21.0,22.0,22.0,23.0,9.0,1.0
191-subfolder,22.0,22.0,21.0,20.0,21.0,22.0,22.0,22.0,22.0,23.0,9.0,1.0
192-subfolder,20.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,9.0,1.0
193-subfolder,23.0,22.0,21.0,22.0,20.0,22.0,20.0,22.0,20.0,23.0,7.0,3.0
194-subfolder,23.0,21.0,21.0,23.0,21.0,22.0,22.0,20.0,21.0,23.0,9.0,1.0
195-subfolder,22.0,21.0,21.0,21.0,20.0,21.0,21.0,23.0,20.0,20.0,7.0,3.0
196-subfolder,23.0,21.0,21.0,22.0,21.0,20.0,20.0,23.0,20.0,20.0,6.0,4.0
197-subfolder,23.0,21.0,20.0,20.0,21.0,22.0,22.0,23.0,20.0,23.0,7.0,3.0
198-subfolder,23.0,21.0,22.0,23.0,23.0,23.0,20.0,22.0,21.0,20.0,8.0,2.0
199-subfolder,20.0,23.0,20.0,22.0,21.0,23.0,22.0,22.0,23.0,23.0,8.0,2.0
200-subfolder,22.0,21.0,21.0,23.0,21.0,22.0,20.0,22.0,21.0,23.0,9.0,1.0
total_plagiarised,160.0,159.0,157.0,156.0,160.0,160.0,160.0,159.0,160.0,159.0,1590.0,0.0
total_not_plagiarised,40.0,41.0,43.0,44.0,40.0,40.0,40.0,41.0,40.0,41.0,0.0,410.0
